iter	Passed	Remaining
0	0	64
1	1	59
2	1	55
3	2	50
4	2	48
5	3	47
6	3	48
7	4	47
8	4	46
9	4	44
10	5	43
11	5	43
12	6	42
13	6	41
14	7	40
15	7	40
16	8	39
17	8	39
18	9	38
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	14	34
29	14	33
30	15	33
31	15	32
32	15	32
33	16	31
34	17	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	28
41	20	28
42	20	27
43	21	26
44	21	26
45	22	26
46	22	25
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
